Comment,Designator,Footprint,LCSC Part #,Qty,Description,JLCPCB Part Type
RP2354A,U1,QFN-60-1EP_7x7mm_P0.4mm,C41378174,1,Dual-core Cortex-M33/RISC-V MCU with 2MB flash-in-package,Extended
W5500,U3,LQFP-48_7x7mm_P0.5mm,C32646,1,Hardwired TCP/IP Ethernet controller SPI,Extended
SN74AHCT125,U4,SOIC-14_3.9x8.7mm_P1.27mm,C7484,1,Quad buffer 3V3→5V level shifter,Basic
TP4056,U5,SOIC-8_3.9x4.9mm_P1.27mm,C16581,1,"1A Li-Ion LiPo charger, USB input",Basic
MT3608,U6,SOT-23-6,C84817,1,"2A boost converter, VBAT→5V",Basic
AMS1117-3.3,U7,SOT-223-3_TabPin2,C6186,1,1A 3.3V LDO regulator,Basic
USB4125-GF-A,J1,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,C165948,1,"USB-C receptacle, through-hole + SMD",Extended
HR911105A,J2,RJ45_Hanrun_HR911105A_Horizontal,C12074,1,RJ45 with integrated magnetics + LEDs,Extended
B2B-PH-K,J3,JST_PH_2pin_2mm,C131337,1,2-pin JST-PH battery connector,Basic
PinHeader_1x04,J9,PinHeader_2.54mm_1x04,C124376,1,4-pin OLED (VCC GND SCL SDA),Basic
PinHeader_1x03,"J5,J6,J7,J8",PinHeader_2.54mm_1x03,C124375,4,LED output connectors (GND DATA VCC5V),Basic
PinHeader_1x03,J10,PinHeader_2.54mm_1x03,C124375,1,SWD debug header (SWCLK SWDIO GND),Basic
12MHz 3225,Y1,Crystal_SMD_3225-4Pin,C9002,1,"12MHz crystal for RP2354A XOSC, ±30ppm",Basic
25MHz 3225,Y2,Crystal_SMD_3225-4Pin,C13738,1,"25MHz crystal for W5500 PHY, ±30ppm",Basic
22uH,L1,L_0805_2012Metric,C1046,1,22uH 2A inductor for MT3608 boost,Basic
3.3uH,L2,L_0805_2012Metric,C25923,1,RP2354A internal buck regulator inductor,Basic
750k,R1,R_0402,C25022,1,MT3608 FB divider top (Vout≈5.1V),
100k,R2,R_0402,C25741,1,MT3608 FB divider bottom,
2k,R3,R_0402,C25879,1,TP4056 PROG: sets charge current 500mA,
5.1k,"R4,R5",R_0402,C25905,2,USB-C CC1/CC2 pull-down (5V/3A sink),
330,R6,R_0402,C25104,1,Charge LED current limit,
10k,"R7,R8,R14,R15,R16,R21,R22",R_0402,C25744,7,"Pull-up: CHRG,RUN,SPI,BTN",
27,"R9,R10",R_0402,C352446,2,USB D+/D- series termination,
12.4k,"R11,R12",R_0402,C25502,2,W5500 EXRES0/RCLK per datasheet,
12.4k,R13,R_0402,C25502,1,W5500 EXRES1,
4.7k,"R19,R20",R_0402,C25900,2,I2C SDA/SCL pull-up,
49.9,"R17,R18",R_0402,C23182,2,Ethernet center-tap bias (49.9Ω),
33,R23,R_0402,C25105,1,RP2354A VREG_AVDD filter resistor,
1k,R24,R_0402,C11702,1,BOOTSEL series resistor on QSPI_SS,
100nF 0402 X5R,"C4,C8,C32,C35,C37,C38,C39,C40,C41,C42,C43,C44,C45,C47,C48,C49,C50,C52",C_0402,C14663,18,100nF 0402 bypass caps,
12pF 0402 C0G,"C2,C3",C_0402,C1525,2,12MHz crystal load caps,
18pF 0402 C0G,"C5,C6",C_0402,C1810,2,25MHz crystal load caps,
4.7uF 0402 X5R,"C7,C9,C10,C46,C51",C_0402,C19712,5,RP2354A regulator and W5500 bulk bypass,
10uF 0805 X5R,"C31,C33,C34,C36",C_0805,C19702,4,10uF bulk on all power rails,
SS14 SOD-123,D1,D_SOD-123,C2480,1,"40V/1A Schottky, power OR-ing",
LED 0402 Green,D2,LED_0402_1005Metric,C72043,1,Charge status LED (green),
KSC741J,"SW1,SW2,SW3,SW4",SW_Push_1P1T_NO_CK_KSC7xxJ,C318884,4,"Tactile switch: BTN1, BTN2, RESET, BOOTSEL",
